Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,Date,Time,duration,weather,peak
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",6/2/2019 13:06,"3.1032033, 101.600455",41 meter,6/2/2019,13:06:25,5,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,"3.10502300000004, 101.600682",6/2/2019 13:07,"3.1045233, 101.6004083",63 meter,6/2/2019,13:07:00,35,1,0
11,SEK KEB KELANA JAYA  JLN SS5/2,"3.104795, 101.607201",6/2/2019 13:08,"3.1053467, 101.6059567",151 meter,6/2/2019,13:08:20,80,1,0
12,RUMAH NO. 24  JLN SS5/1,"3.10310809833283, 101.606752545247",6/2/2019 13:09,"3.1036017, 101.6070983",67 meter,6/2/2019,13:09:10,50,1,0
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",6/2/2019 13:09,"3.10189, 101.6060067",108 meter,6/2/2019,13:09:35,25,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",6/2/2019 13:10,"3.0988833, 101.6039367",161 meter,6/2/2019,13:10:20,45,1,0
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",6/2/2019 13:10,"3.0971833, 101.6046317",18 meter,6/2/2019,13:10:55,35,1,0
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",6/2/2019 13:11,"3.0968483, 101.6051633",44 meter,6/2/2019,13:11:05,10,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,"3.09602704547199, 101.606265160397",6/2/2019 13:11,"3.09624, 101.605875",49 meter,6/2/2019,13:11:20,15,1,0
18,MASJID HIDAYAH  JLN MAJLIS,"3.09899537677687, 101.607111585593",6/2/2019 13:12,"3.0986967, 101.6071167",33 meter,6/2/2019,13:12:30,70,1,0
19,RUMAH NO. 21  JLN SS 3/80,"3.1016, 101.609357",6/2/2019 13:13,"3.1018217, 101.609",47 meter,6/2/2019,13:13:40,70,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,"3.101569, 101.613331",6/2/2019 13:14,"3.1016017, 101.611655",186 meter,6/2/2019,13:14:15,35,1,0
21,SIMPANG JLN SS1/38  JLN SS1/36,"3.104599, 101.61648",6/2/2019 13:15,"3.1029, 101.6164117",188 meter,6/2/2019,13:15:45,90,1,0
22,NURSERI (OPP) JLN SS1/36,"3.108636, 101.616465",6/2/2019 13:16,"3.1075083, 101.6161683",129 meter,6/2/2019,13:16:45,60,1,0
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 13:17,"3.1095717, 101.6171533",78 meter,6/2/2019,13:17:10,25,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:59,"3.1111536, 101.6121908",0,6/2/2019,12:59:34,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10763984044263, 101.610927842503",6/2/2019 13:00,"3.10897, 101.6115383",162 meter,6/2/2019,13:00:19,45,1,0
4,SEK MEN SRI PERMATA  JLN SS 3/80,"3.10151490209982, 101.614209672132",6/2/2019 13:14,"3.1015833, 101.6126867",169 meter,6/2/2019,13:14:30,851,1,0
33,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.1106107, 101.6149735",6/2/2019 13:17,"3.1099833, 101.616405",174 meter,6/2/2019,13:17:35,185,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:46,"3.1112186, 101.6126461",0,6/2/2019,12:46:53,0,1,0
6,SEK MEN KELANA JAYA  LDP,"3.10875312257981, 101.596062492728",6/2/2019 13:32,"3.1102167, 101.596235",163 meter,6/2/2019,13:32:55,2762,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:46,"3.1112186, 101.6126461",0,6/2/2019,12:46:53,0,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:46,"3.1112885, 101.612108",0,6/2/2019,12:46:25,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10767533424092, 101.611201364536",6/2/2019 12:49,"3.109215, 101.6115883",176 meter,6/2/2019,12:49:04,159,1,0
3,PETRONAS (OPP )  JLN SS4B/10,"3.10790754483897, 101.60644396198",6/2/2019 12:51,"3.1074133, 101.608155",198 meter,6/2/2019,12:51:49,165,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,"3.10946518685449, 101.603688366379",6/2/2019 12:52,"3.10948, 101.6046817",110 meter,6/2/2019,12:52:44,55,1,0
5,KUARTERS  PDRM  JLN SS4B/10,"3.10945518937511, 101.599495808303",6/2/2019 12:53,"3.1095133, 101.6006717",131 meter,6/2/2019,12:53:14,30,1,0
6,SEK MEN KELANA JAYA  LDP,"3.10875312257981, 101.596062492728",6/2/2019 12:53,"3.10951, 101.5975933",190 meter,6/2/2019,12:53:34,20,1,0
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",6/2/2019 12:55,"3.1014583, 101.5990233",112 meter,6/2/2019,12:55:49,135,1,0
8,PPURI PKNS/JEJARI RESTORAN  JLN SS6/3,"3.10229623315117, 101.600390567679",6/2/2019 12:56,"3.102065, 101.6005283",30 meter,6/2/2019,12:56:37,48,1,0
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",6/2/2019 12:56,"3.103515, 101.6004633",16 meter,6/2/2019,12:56:52,15,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,"3.10502300000004, 101.600682",6/2/2019 12:57,"3.1047167, 101.6003933",47 meter,6/2/2019,12:57:07,15,1,0
11,SEK KEB KELANA JAYA  JLN SS5/2,"3.104795, 101.607201",6/2/2019 12:58,"3.1053767, 101.6057617",172 meter,6/2/2019,12:58:37,90,1,0
12,RUMAH NO. 24  JLN SS5/1,"3.10310809833283, 101.606752545247",6/2/2019 12:59,"3.103885, 101.607215",100 meter,6/2/2019,12:59:37,60,1,0
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",6/2/2019 13:00,"3.1020683, 101.605975",124 meter,6/2/2019,13:00:02,25,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",6/2/2019 13:01,"3.0992967, 101.60418",199 meter,6/2/2019,13:01:07,65,1,0
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",6/2/2019 13:01,"3.0971608, 101.6048034",6 meter,6/2/2019,13:01:52,45,1,0
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",6/2/2019 13:02,"3.0968333, 101.6051433",45 meter,6/2/2019,13:02:12,20,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,"3.09602704547199, 101.606265160397",6/2/2019 13:02,"3.09624, 101.6060017",38 meter,6/2/2019,13:02:27,15,1,0
18,MASJID HIDAYAH  JLN MAJLIS,"3.09899537677687, 101.607111585593",6/2/2019 13:03,"3.0974767, 101.6073067",169 meter,6/2/2019,13:03:12,45,1,0
19,RUMAH NO. 21  JLN SS 3/80,"3.1016, 101.609357",6/2/2019 13:03,"3.102305, 101.608195",151 meter,6/2/2019,13:03:52,40,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,"3.101569, 101.613331",6/2/2019 13:04,"3.1015517, 101.6116417",188 meter,6/2/2019,13:04:32,40,1,0
21,SIMPANG JLN SS1/38  JLN SS1/36,"3.104599, 101.61648",6/2/2019 13:06,"3.1029667, 101.6165",181 meter,6/2/2019,13:06:22,110,1,0
22,NURSERI (OPP) JLN SS1/36,"3.108636, 101.616465",6/2/2019 13:07,"3.1075917, 101.6161233",122 meter,6/2/2019,13:07:32,70,1,0
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 13:08,"3.1094233, 101.61716",88 meter,6/2/2019,13:08:06,34,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:46,"3.1112885, 101.612108",0,6/2/2019,12:46:25,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10763984044263, 101.610927842503",6/2/2019 12:49,"3.109215, 101.6115883",189 meter,6/2/2019,12:49:04,159,1,0
4,SEK MEN SRI PERMATA  JLN SS 3/80,"3.10151490209982, 101.614209672132",6/2/2019 13:04,"3.1015783, 101.6126617",172 meter,6/2/2019,13:04:47,943,1,0
33,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.1106107, 101.6149735",6/2/2019 13:08,"3.110195, 101.6161233",136 meter,6/2/2019,13:08:26,219,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:31,"3.1111052, 101.6122701",0,6/2/2019,12:31:58,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10767533424092, 101.611201364536",6/2/2019 12:33,"3.1093383, 101.6114683",186 meter,6/2/2019,12:33:16,78,1,0
3,PETRONAS (OPP )  JLN SS4B/10,"3.10790754483897, 101.60644396198",6/2/2019 12:35,"3.1074533, 101.6073833",116 meter,6/2/2019,12:35:56,160,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,"3.10946518685449, 101.603688366379",6/2/2019 12:36,"3.1092867, 101.6053133",182 meter,6/2/2019,12:36:36,40,1,0
5,KUARTERS  PDRM  JLN SS4B/10,"3.10945518937511, 101.599495808303",6/2/2019 12:37,"3.1094633, 101.5998533",40 meter,6/2/2019,12:37:16,40,1,0
6,SEK MEN KELANA JAYA  LDP,"3.10875312257981, 101.596062492728",6/2/2019 12:37,"3.10946, 101.596425",88 meter,6/2/2019,12:37:36,20,1,0
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",6/2/2019 12:39,"3.1015367, 101.5984833",170 meter,6/2/2019,12:39:46,130,1,0
8,PPURI PKNS/JEJARI RESTORAN  JLN SS6/3,"3.10229623315117, 101.600390567679",6/2/2019 12:40,"3.10252, 101.6004367",25 meter,6/2/2019,12:40:41,55,1,0
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",6/2/2019 12:40,"3.1030933, 101.6003967",51 meter,6/2/2019,12:40:46,5,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,"3.10502300000004, 101.600682",6/2/2019 12:41,"3.1043541, 101.6003085",85 meter,6/2/2019,12:41:26,40,1,0
11,SEK KEB KELANA JAYA  JLN SS5/2,"3.104795, 101.607201",6/2/2019 12:43,"3.1053983, 101.6055183",199 meter,6/2/2019,12:43:01,95,1,0
12,RUMAH NO. 24  JLN SS5/1,"3.10310809833283, 101.606752545247",6/2/2019 12:44,"3.1036467, 101.6069933",65 meter,6/2/2019,12:44:26,85,1,0
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",6/2/2019 12:44,"3.10181, 101.605895",94 meter,6/2/2019,12:44:56,30,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",6/2/2019 12:45,"3.0987267, 101.6037883",152 meter,6/2/2019,12:45:41,45,1,0
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",6/2/2019 12:46,"3.096985, 101.604995",28 meter,6/2/2019,12:46:36,55,1,0
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",6/2/2019 12:46,"3.096805, 101.6052433",34 meter,6/2/2019,12:46:41,5,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,"3.09602704547199, 101.606265160397",6/2/2019 12:46,"3.0961867, 101.60602",32 meter,6/2/2019,12:46:56,15,1,0
18,MASJID HIDAYAH  JLN MAJLIS,"3.09899537677687, 101.607111585593",6/2/2019 12:47,"3.0982417, 101.6071233",83 meter,6/2/2019,12:47:36,40,1,0
19,RUMAH NO. 21  JLN SS 3/80,"3.1016, 101.609357",6/2/2019 12:48,"3.1020633, 101.60851",107 meter,6/2/2019,12:48:56,80,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,"3.101569, 101.613331",6/2/2019 12:49,"3.1016217, 101.6118767",162 meter,6/2/2019,12:49:36,40,1,0
21,SIMPANG JLN SS1/38  JLN SS1/36,"3.104599, 101.61648",6/2/2019 12:51,"3.103, 101.6164917",177 meter,6/2/2019,12:51:16,100,1,0
22,NURSERI (OPP) JLN SS1/36,"3.108636, 101.616465",6/2/2019 12:52,"3.107375, 101.6162283",142 meter,6/2/2019,12:52:41,85,1,0
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 12:53,"3.1094467, 101.6171333",84 meter,6/2/2019,12:53:06,25,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:31,"3.1111052, 101.6122701",0,6/2/2019,12:31:58,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10763984044263, 101.610927842503",6/2/2019 12:33,"3.1093383, 101.6114683",197 meter,6/2/2019,12:33:16,78,1,0
4,SEK MEN SRI PERMATA  JLN SS 3/80,"3.10151490209982, 101.614209672132",6/2/2019 12:49,"3.1016433, 101.6131033",124 meter,6/2/2019,12:49:51,995,1,0
33,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.1106107, 101.6149735",6/2/2019 12:53,"3.1098833, 101.6165633",194 meter,6/2/2019,12:53:16,205,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:20,"3.1110179, 101.6126475",0,6/2/2019,12:20:07,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10767533424092, 101.611201364536",6/2/2019 12:22,"3.1082667, 101.6113133",67 meter,6/2/2019,12:22:17,130,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,"3.101569, 101.613331",6/2/2019 12:24,"3.1015974, 101.6149518",180 meter,6/2/2019,12:24:17,120,1,0
19,RUMAH NO. 21  JLN SS 3/80,"3.1016, 101.609357",6/2/2019 12:25,"3.1014817, 101.61093",175 meter,6/2/2019,12:25:17,60,1,0
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 12:55,"3.1103267, 101.617745",144 meter,6/2/2019,12:55:32,1815,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:20,"3.1110179, 101.6126475",0,6/2/2019,12:20:07,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10763984044263, 101.610927842503",6/2/2019 12:22,"3.1082667, 101.6113133",81 meter,6/2/2019,12:22:17,130,1,0
3,RUMAH NO. 107  JLN SS 3/39,"3.1055572225102, 101.611702085264",6/2/2019 12:22,"3.1061417, 101.610765",123 meter,6/2/2019,12:22:57,40,1,0
4,SEK MEN SRI PERMATA  JLN SS 3/80,"3.10151490209982, 101.614209672132",6/2/2019 12:24,"3.102305, 101.6150283",126 meter,6/2/2019,12:24:07,70,1,0
5,TAMAN PERMAINAN  JLN SS 3/29,"3.09953717185688, 101.610986705879",6/2/2019 12:25,"3.10107, 101.6109733",170 meter,6/2/2019,12:25:22,75,1,0
6,7 ELEVEN  JLN SS 3/29,"3.09682337351054, 101.611003335106",6/2/2019 12:25,"3.0972283, 101.6109867",45 meter,6/2/2019,12:25:52,30,1,0
7,RUMAH NO. 1  JLN SS 3/29,"3.09173167596204, 101.610995720938",6/2/2019 12:27,"3.0928967, 101.610955",129 meter,6/2/2019,12:27:12,80,1,0
8,PASARAYA BINTANG  JLN SS 8/29,"3.0886277, 101.6141655",6/2/2019 12:27,"3.0890333, 101.612985",139 meter,6/2/2019,12:27:57,45,1,0
9,PJ21 SRI SURIA  JLN SS 8/39,"3.09009995530852, 101.614893880919",6/2/2019 12:29,"3.0898083, 101.6149833",34 meter,6/2/2019,12:29:47,110,1,0
10,RUMAH NO. 9  JLN SS 1/11,"3.09328693210492, 101.616557211215",6/2/2019 12:30,"3.0924345, 101.6150252",195 meter,6/2/2019,12:30:32,45,1,0
11,RUMAH NO. 35  JLN SS 1/11,"3.09527625790925, 101.617587312955",6/2/2019 12:31,"3.094415, 101.6168817",123 meter,6/2/2019,12:31:17,45,1,0
16,MASJID/SEK REN. AGAMA  JLN 229,"3.09581055585597, 101.626158571955",6/2/2019 12:38,"3.0946783, 101.627398",186 meter,6/2/2019,12:38:27,430,1,0
17,SHELL  PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",6/2/2019 12:38,"3.0959417, 101.6292083",158 meter,6/2/2019,12:38:57,30,1,0
18,SEK. MEN. SRI UTAMA  JLN 51A/227,"3.09852573401422, 101.63231163406",6/2/2019 12:40,"3.09733, 101.6322667",132 meter,6/2/2019,12:40:32,95,1,0
19,BANGUNAN OCONNOR  JLN 51A/227,"3.1006311, 101.6326407",6/2/2019 12:40,"3.0999833, 101.6323367",79 meter,6/2/2019,12:40:57,25,1,0
20,HONDA TRAINING CENTRE  JLN 51A/227,"3.10137299701371, 101.630645769085",6/2/2019 12:41,"3.1013983, 101.6311383",55 meter,6/2/2019,12:41:27,30,1,0
21,SEK. MEN. (P) SRI AMAN  JLN SS 14/47,"3.10342898876476, 101.629160797821",6/2/2019 12:42,"3.1024867, 101.6295083",111 meter,6/2/2019,12:42:12,45,1,0
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",6/2/2019 12:42,"3.1039883, 101.6264733",79 meter,6/2/2019,12:42:47,35,1,0
23,WISMA JAFER ZAIDI  JLN 20/14,"3.10676403668525, 101.625344054112",6/2/2019 12:43,"3.105635, 101.6259583",142 meter,6/2/2019,12:43:07,20,1,0
24,SHELL  JLN 21/1,"3.10958456021512, 101.623112820665",6/2/2019 12:43,"3.108815, 101.6244733",174 meter,6/2/2019,12:43:52,45,1,0
25,HERBALINE  JLN 21/11,"3.11196181822721, 101.621221934795",6/2/2019 12:45,"3.111075, 101.622415",165 meter,6/2/2019,12:45:32,100,1,0
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",6/2/2019 12:46,"3.1128155, 101.6201518",131 meter,6/2/2019,12:46:17,45,1,0
31,AUTO FILM  JLNSS 2/24,"3.11521642915048, 101.621698417829",6/2/2019 12:47,"3.114675, 101.6213083",74 meter,6/2/2019,12:47:57,100,1,0
27,BALAI POLIS SEA PARK  JLN SS2/24,"3.11712212470101, 101.623102230366",6/2/2019 12:49,"3.1161617, 101.6225583",122 meter,6/2/2019,12:49:12,75,1,0
28,VISION SPACE  JLN SS 2/75,"3.11896809448934, 101.623816438545",6/2/2019 12:51,"3.1181833, 101.6241583",95 meter,6/2/2019,12:51:17,125,1,0
29,PUBLIC BANK  JLN SS 2/75,"3.1207195747442, 101.621832946834",6/2/2019 12:51,"3.12014, 101.62262",108 meter,6/2/2019,12:51:42,25,1,0
